epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,6776.44,1.87349,1.82623,1.65575,0.73405,0.61062,0.62017,0.31286,1.94927,1.75759,1.85663,0.0004259,0.0004259,0.0004259
161,6818.72,1.83799,1.82524,1.57807,0.67111,0.59292,0.62135,0.29986,1.94597,1.70521,1.84202,0.000416,0.000416,0.000416
162,6860.96,1.94632,1.94866,1.67386,0.70267,0.63717,0.62664,0.30298,1.97413,1.7396,1.8298,0.0004061,0.0004061,0.0004061
163,6903.45,1.93001,1.92915,1.72686,0.7724,0.61062,0.63373,0.31935,1.94381,1.66901,1.81711,0.0003962,0.0003962,0.0003962
164,6946.39,1.95218,1.89815,1.72871,0.76243,0.61947,0.65104,0.32477,1.91857,1.68481,1.80842,0.0003863,0.0003863,0.0003863
165,6989.03,1.89906,1.87084,1.65908,0.73087,0.63717,0.65425,0.32421,1.89368,1.63798,1.7997,0.0003764,0.0003764,0.0003764
166,7031.49,1.9289,1.83692,1.6721,0.76668,0.61067,0.64918,0.33077,1.93093,1.64569,1.80501,0.0003665,0.0003665,0.0003665
167,7074.14,1.83024,1.85259,1.63387,0.76885,0.61815,0.63856,0.32538,1.9193,1.6506,1.79141,0.0003566,0.0003566,0.0003566
168,7116.3,1.85247,1.79629,1.66,0.74222,0.61155,0.63985,0.32572,1.91983,1.67466,1.79152,0.0003467,0.0003467,0.0003467
169,7158.68,1.90946,1.83726,1.63587,0.74,0.58407,0.63046,0.32544,1.92754,1.68053,1.78484,0.0003368,0.0003368,0.0003368
170,7200.85,1.87572,1.84426,1.6685,0.77697,0.59292,0.64534,0.33152,1.90744,1.64223,1.77422,0.0003269,0.0003269,0.0003269
171,7243.71,1.92266,1.8266,1.63074,0.77633,0.60177,0.65796,0.3358,1.9264,1.66792,1.77919,0.000317,0.000317,0.000317
172,7286.25,1.85295,1.83728,1.60542,0.75209,0.6175,0.64033,0.32745,1.9429,1.67998,1.78915,0.0003071,0.0003071,0.0003071
173,7328.88,1.88896,1.84187,1.65052,0.77996,0.62832,0.65669,0.32874,1.93612,1.64461,1.80464,0.0002972,0.0002972,0.0002972
174,7371.72,1.85211,1.75197,1.64256,0.75935,0.58642,0.63939,0.31849,1.94922,1.696,1.81744,0.0002873,0.0002873,0.0002873
175,7414.01,1.83065,1.90145,1.64677,0.7436,0.62832,0.64047,0.31109,1.92766,1.66644,1.8056,0.0002774,0.0002774,0.0002774
176,7456.54,1.8186,1.75801,1.62891,0.70208,0.6465,0.64274,0.31987,1.91999,1.68809,1.79344,0.0002675,0.0002675,0.0002675
177,7499.13,1.86046,1.83532,1.62615,0.7421,0.5857,0.63207,0.31086,1.93523,1.7186,1.79962,0.0002576,0.0002576,0.0002576
